livre	chapitre	verset	fr	ewe
GEN	2	25	L’homme et sa femme étaient tous deux nus, et ils n’en avaient point honte.	Eye wo kpakple eve la wole fefle, ame la kple sróa, eye nu mekpea wo o. Nuv$à me dzedze. Ke da dze aye wu gbemelà, a siwo kata Yehowa Mawu wo la, eye wogblo na nyonu la bena: Vavae Mawu gblo bena, migadu abometiawo kata fe tsetsea deke o maha?
GEN	4	23	Lémec dit à ses femmes:	Eye Lameh gblo na srówo bena: Ada kple Zila, mido to nye gbe; mi Lameh srówo, mise ye nyawo! Vava, mewu nutsu de nye abi tefe kple dekakpui de nye dodro tete
GEN	4	24	Caïn sera vengé sept fois,	Elabena wobia hló Kain zi adre, ke Lameh la zi blaadre vo aire. Set kple Enos
GEN	6	22	C’est ce que fit Noé: il exécuta tout ce que Dieu lui avait ordonné.	Eye Noa woe; alesi Mawu de se ne la, nenema pe wowo. Noa yi adakawu la me. Tete Yehowa gblo na Noa be- v na: Yi ge adakawu la me, wò nuto kple afewo me kata, elabena mekpo bena, ame dzodzoe nènye le dzidzime sia dome
GEN	7	7	Et Noé entra dans l’arche avec ses fils, sa femme et les femmes de ses fils, pour échapper aux eaux du déluge.	Eye Noa kple vianutsuwo kple sróa hekpe de vianutsuawo srowo ñuti, woyi de adakawu la me, hafi tsi va de anyigba./ 8 Là matsri- matsriwo kple là tsitsriwo kple he dzodzoewo hekpe de nusiwo kata tana le anyigba dzi la nuti 9 woyi de Noa gbo atsu kple asi eveveve le adakawu la me, abe alesi #ZMawu de se na Noa ene
GEN	7	13	Ce même jour entrèrent dans l’arche Noé, Sem, Cham et Japhet, fils de Noé, la femme de Noé et les trois femmes de ses fils avec eux:	Le iKeKe ma dzi tutütu Noa kple via- nutsuwo: Sem, Ham kple Yafet kple Noa sro, hekpe de vianutsua- wo sro etóawo ñuti, woyi de ada- kawu la me; 14 woawo kple gbe- meláwo katá le wofe fomeviwo nu kple afemelàwo katà le wofe fomeviwo nu kple nu fata, siwo katà tana le anyigba dzi le wofe fomeviwo nu, hekpe de hewo kple nusiwo katá dzona la nuti le wofe . 3, 6; Hi. 22, 15. 16. . 3, 20. A 7, 1M. 12. fomeviwo nu
GEN	7	24	Les eaux furent grosses sur la terre pendant cent cinquante jours.	Eye tsia le dodom de anyigba dzi nkeke alafa deka kple blaato son. Tsidodo wu nu. Eye Mawu do nku Noa kple x gbemelà kple afemelà, siwo kata le egbo le adakawua me la dzi, eye Mawu na ya fo de anyi- gba dzi, ale bena tsia de asi mie- mie me
GEN	8	22	Tant que la terre subsistera, les semailles et la moisson, le froid et la chaleur, l’été et l’hiver, le jour et la nuit ne cesseront point.	Tso esia dzi, hkeke alesi anyigba li la, nufafá kple nucece, vuvo kple fifia, dzomenoli kple pepi, nkeke kple za nu matsi 0. Sedede na Noa fe dzidzimeviwo. Eye Mawu yra Noa kple via- = nutsuawo, eye wógblo na wo bena: Midzi, ne miaso gbo, eye miayo anyigba la dzi! 2 Metso anyigba dzi lawo kata kple dzifohe dzodzoewo kata kple nusiwo kata tana le anyigba dzi, kple tome- lawo kata de asi na mi, eye mia- nye vovó kple ñodzi na wo. Z Nu gbagbe, siwo kata wana, nenem4 nu siawo kata metso na mi, bena woanye miafe nududu abe ama- gbewo ke ene
GEN	9	14	Quand j’aurai rassemblé des nuages au-dessus de la terre, l’arc paraîtra dans la nue;	Eye ava me bena, ne mele fu fom alilikpowo le dzifo, eye anyie- wo di de alilikpoawo nu la, 15 eke- ma mado nku nye nubabla, si mebla kpli mi kpakple nutil& sia nutilà, siwo me apbegbogbo le la dzi, eye tsi magado ade anyigba la bena, nu gbagbewo kata natsro alilikpowo nu la, makpoe ahado nku nubabla, si le Mawu kple nu- tila, siwo kata me agbegbogbo le le anyigba dzi, dome la dzi tegbe
GEN	9	28	Noé vécut, après le déluge, trois cent cinquante ans.	Eye le tsidodo la megbe la Noa gano agbe fe alafa etó kple blaató, eye Noa fe agbe me nkekewo katà nye fe alafa asieke kple blaató, eye woku
GEN	10	4	Les fils de Javan: Élischa, Tarsis, Kittim et Dodanim.	Yawan vinutsuwo nye: Elisa, Tarsis, Kititowo kple Doda- nitowo.5 Ame siawo me duko,siwo noa fukpowo dzi la, dzo tso. Esiawo nye Yafet vihutsuwo le wofe anyi- Dzidzime behléfia. a . b Yo. 1,2. d Ro. 9, 16. e Ef. 3, 6. 9, 16 10, 31 gbawo, wofe gbe vovovowo, wote fomewo kple wofe dukowo nu
GEN	10	15	Canaan engendra Sidon, son premier-né, et Heth;	Eye Ka- naan dzi Zidon efe ngogbevi kple Het, 16 Yebusitowo, Amoritowo kple Girgasitowo, 17 Hiwitowo, Arkitowo kple Sinitowo, 18 Ar- watitowo, Zemaritowo kple Ha- matitowo; emegbe Kanaan fe fo- me va keke ta de dzi
GEN	10	26	Jokthan engendra Almodad, Schéleph, Hatsarmaveth, Jérach,	Yok- tan dzi Almodad, Salep, Hazar- mawet, Yarah, 27 'Hadoram, Uzal, Dikla, 28 Obal, Abimael, Seba, 29 Ofir, Hawila kple Yobab. Ame siawo kata nye Yoktan vinutsu- wo
GEN	13	2	Abram était très riche en troupeaux, en argent et en or.	Eye lawo, klo- salo kple sika gede le Abram si tan./ 3 Eye wòzo tso dziehe gome vasede Betel, vasede tefe, si wòtu efe agbado do tsã, le Betel kple 18; Ai dome, 4 afisi wodi vosamle- a kpui do gba. Eye Abram yo Ye- 12; Mo, IL 6, howa fe nko le aima
GEN	13	15	car tout le pays que tu vois, je le donnerai à toi et à ta postérité pour toujours.	Elabena anyigba blibo la kata, si kpom néle la, matsoe ana wo kple wo dzidzimeviwo tegbetegbe. 16 Eye mana wo dzidzimeviwo naso gbo abe wuwudedi ene ale be, ne amea de ate nu ahlë wuwudedi la, eya Koe ate ñu ahlë wo dzi- dzimeviwo ha.d 17 Mi tre natsa, eye nakpo anyigba la fe didime kple efe kekeme, elabena wge matsoe ana!
GEN	13	18	Abram leva ses tentes, et vint habiter parmi les chênes de Mamré, qui sont près d’Hébron. Et il bâtit là un autel à l’Éternel.	Eye Abram le efe agbado hom le tutum, le ngo- gbe yimie, eye wóva no Mamre fe ati gá gbo le Hebron-nutowo me, eye wódi vosamlekpui de afi- ma na Yehowa.* 1 Eye wova me le nkeke mawo a me bena, Amrafel, Sinear-fia, Ariok, Elasar-fia, Kedorlaomer,El- am-fia kple Tideal, Goyim-fia 2 wo- và woa awa kple Bera, Sodom-fia, Birsa, Gomora-fia, Sineab,/ Adma- fia, Semeber, Zeboyim-fia kple Be- la- alo Zoar-fia
GEN	14	11	Les vainqueurs enlevèrent toutes les richesses de Sodome et de Gomorrhe, et toutes leurs provisions; et ils s’en allèrent.	Eye woha Sodom kple Fiawo fe awawowo
GEN	15	8	Abram répondit: Seigneur Éternel, à quoi connaîtrai-je que je le posséderai?	Ke egblo ne be- na: Afeto Yehowa, nuka me madze sii le bena, matsoe anyi domee mahã?k 9 Eye wódo nu ne bena: Lé nyino, si ho fe eto, gbóno, si ho fe etó, appo, si ho fe eto, akpakpa kple ahóne ve nam!
GEN	15	19	le pays des Kéniens, des Keniziens, des Kadmoniens,	Kenitowo, Kenizitowo, Kadmonitowo,?20 Hititowo,Perizi- towo, * Refaitowo, 21 Amoritowo, Kanaanitowo, Girgasitowo kple Yebusitowo
GEN	18	17	Alors l’Éternel dit: Cacherai-je à Abraham ce que je vais faire?…	Eye Yehowa gblo bena: De mala nusi wo ge mala la de Abrabam, 18 esi wónye Abraham ava nye duko gà sénua de, eye woayra anyigba dzi dukowo kata le eme laa? 19 Elabena metiae, bena dwòade se na emegbeviwo kple efe me kata bena, woalé nku de Yehowa fe mo nuti, eye woawo nu dzodzoe kple nu nyui, bena ne nusi nugbe Yehowa do la, nava me na Abraham
GEN	18	23	Abraham s’approcha, et dit: Feras-tu aussi périr le juste avec le méchant?	Eye Abraham te de enu gblo bena: De àtsró ame dzodzoewo kple ame vódiwo sia maha ?i 24 Dewohi ame dzodzoe blaató ano dua me; de àtsróe, eye matsoe ake tefe la le ame dzodzoe blaato, siwo le eme la, ta o mahá?
GEN	21	2	Sara devint enceinte, et elle enfanta un fils à Abraham dans sa vieillesse, au temps fixé dont Dieu lui avait parlé.	Ke Yehowa do nku nhugbe
GEN	21	9	Sara vit rire le fils qu’Agar, l’Égyptienne, avait enfanté à Abraham;	Ke esi Sara kpo bena, Egipte- nyonua Hagar fe vi, si wódzi na Abraham, lóa gafluinuwowo 1a, 10 egblo na Abraham bena: Nyà kosi sia kple via da; elabena kosi sia fe vi mate nu anyi dome kple vinye Isak o
GEN	21	15	Quand l’eau de l’outre fut épuisée, elle laissa l’enfant sous un des arbrisseaux,	Esi lagbalé- golo me tsi la vo la, etso devi la yi damlo ati dodoea de te, 16 eye wóyi dabobo no devi la kasa le adzoge bo, wo dome didi abe antro fe dudidi me ene; elabena egblo bena: Nyemate nu akpo devi la fe kufe o. Eyata woyi dabobo no adzoge bo do; tete devi la de asi avifafa me sesie
